response,group
0.224,dr
0.187,dr
0.206,dr
0.192,dr
0.189,dr
0.229,dr
0.175,dr
0.178,dr
0.211,dr
0.210,dr
0.174,dr
0.180,dr
0.197,dr
0.192,dr
0.203,dr
0.190,dr
0.186,dr
0.213,dr
0.187,dr
0.145,dr
0.214,dr
0.177,dr
0.224,dr
0.186,dr
0.194,dr
0.175,dr
0.186,dr
0.155,dr
0.234,dr
0.265,dr
0.195,dr
0.175,dr
0.214,dr
0.235,dr
0.174,dr
0.244,dr
0.341,dr
0.233,dr
0.206,dr
0.165,dr
0.214,dr
0.157,dr
0.248,dr
0.167,dr
0.168,dr
0.191,dr
0.178,dr
0.198,dr
0.188,dr
0.202,dr
0.166,dr
0.207,dr
0.157,dr
0.206,dr
0.140,dr
0.153,dr
0.234,dr
0.166,dr
0.180,dr
0.194,dr
0.157,dr
0.192,dr
0.255,dr
0.205,dr
0.222,dr
0.221,dr
0.194,dr
0.216,dr
0.162,dr
0.146,bi
0.157,bi
0.163,bi
0.170,bi
0.174,bi
0.166,bi
0.131,bi
0.150,bi
0.171,bi
0.125,bi
0.125,bi
0.160,bi
0.184,bi
0.119,bi
0.173,bi
0.202,bi
0.228,bi
0.185,bi
0.205,bi
0.195,bi
0.181,bi
0.182,bi
0.145,bi
0.185,bi
0.179,bi
0.185,bi
0.204,bi
0.191,bi
0.155,bi
0.199,bi
0.204,bi
0.191,bi
0.205,bi
0.186,bi
0.197,bi
0.177,bi
0.203,bi
0.199,bi
0.192,bi
0.192,bi
0.182,bi
0.185,bi
0.204,bi
0.194,bi
0.233,bi
0.204,bi
0.168,bi
0.180,bi
0.142,bi
0.148,bi
0.160,bi
0.164,bi
0.168,bi
0.158,bi
0.157,bi
0.140,bi
0.176,bi
0.175,bi
0.161,bi
0.159,bi
0.166,bi
0.171,bi
0.173,bi
0.153,bi
0.189,bi
0.183,bi
0.131,bi
0.121,bi
0.172,bi
0.155,bi
0.180,bi
0.176,bi
0.169,bi
0.150,bi
0.146,bi
0.181,bi
0.141,bi
0.156,bi
0.159,bi
0.135,bi
0.155,bi
0.158,bi
0.182,bi
0.185,bi
0.190,bi
0.173,bi
0.213,bi
0.159,bi
0.192,bi
0.194,bi
0.184,bi
0.188,bi
0.175,bi
0.179,bi
0.191,bi
0.162,bi
0.181,bi
0.175,bi
0.180,bi
0.167,bi
0.212,bi
0.172,bi
0.175,bi
0.186,bi
0.188,bi
0.214,bi
0.118,bi
0.214,bi
0.145,bi
0.166,bi
0.210,bi
0.194,bi
0.187,bi
0.159,ol
0.120,ol
0.129,ol
0.164,ol
0.206,ol
0.194,ol
0.158,ol
0.196,ol
0.200,ol
0.166,ol
0.220,ol
0.185,ol
0.198,ol
0.168,ol
0.245,ol
0.190,ol
0.200,ol
0.200,ol
0.231,ol
0.163,ol
0.198,ol
0.191,ol
0.221,ol
0.190,ol
0.220,ol
0.187,ol
0.190,ol
0.194,ol
0.194,ol
0.192,ol
0.215,ol
0.185,ol
0.218,ol
0.173,ol
0.173,ol
0.185,ol
0.196,ol
0.177,ol
0.168,ol
0.214,ol
0.183,ol
0.242,ol
0.218,ol
0.237,ol
0.189,ol
0.159,ol
0.240,ol
0.189,ol
0.171,ol
0.208,ol
0.197,ol
0.151,hd
0.182,hd
0.181,hd
0.229,hd
0.178,hd
0.236,hd
0.214,hd
0.177,hd
0.204,hd
0.120,hd
0.231,hd
0.204,hd
0.196,hd
0.208,hd
0.195,hd
0.181,hd
0.105,hd
0.304,hd
0.212,hd
0.108,hd
0.097,hd
0.199,hd
0.199,hd
0.200,hd
0.184,hd
0.205,hd
0.167,hd
0.178,hd
0.226,hd
0.161,hd
0.180,hd
0.217,hd
0.194,hd
0.220,hd
0.156,hd
0.236,hd
0.155,hd
0.210,hd
0.167,hd
0.220,hd
0.165,hd
0.250,hd
0.197,hd
0.212,hd
0.210,hd
0.177,hd
0.191,hd
0.242,hd
0.192,hd
0.197,hd
0.198,ha
0.201,ha
0.201,ha
0.204,ha
0.194,ha
0.200,ha
0.186,ha
0.196,ha
0.206,ha
0.181,ha
0.157,ha
0.215,ha
0.210,ha
0.203,ha
0.237,ha
0.203,ha
0.207,ha
0.208,ha
0.198,ha
0.202,ha
0.173,ha
0.218,ha
0.206,ha
0.216,ha
0.139,ha
0.234,ha
0.246,ha
0.192,ha
0.168,ha
0.190,ha
0.186,ha
0.172,ha
0.170,ha
0.221,ha
0.203,ha
0.188,ha
0.220,ha
0.229,ha
0.187,ha
0.213,ha
0.218,ha
0.223,ha
0.208,ha
0.193,ha
0.201,ha
0.201,ha
0.211,ha
0.201,ha
0.187,ha
0.178,ha
0.217,ha
0.227,ha
0.183,ha
0.169,ha
0.207,ha
0.189,ha
0.175,ha
0.198,ha
0.190,ha
0.194,ha
0.215,ha
0.171,ha
0.167,ha
0.211,ha
0.184,ha
