regione,PILprocapite,indennita,latitudine
Abruzzo,20100,6200,43
Basilicata,17500,8100,41
Bolzano,34500,6100,47
Calabria,15700,9100,39
Campania,15700,9300,41
EmiliaRomagna,29600,5600,45
FriuliVeneziaGiulia,27100,8300,46
Lazio,28300,7200,42
Liguria,26100,8600,44
Lombardia,31300,12700,46
Marche,24500,7100,44
Molise,19600,10200,42
Piemonte,25900,10300,45
Puglia,16200,10500,41
Sardegna,18700,8300,39
Sicilia,16000,10100,37
Toscana,26600,7600,44
Trento,29000,6100,46
Umbria,22200,6600,43
ValledAosta,30800,6100,46
Veneto,28100,10600,45
