time,sample,pH,cumulative
0,A,first,0
5,A,first,6
10,A,first,9
20,A,first,13
40,A,first,16
60,A,first,18
120,A,first,20
121,A,second,64
122,A,second,65
125,A,second,65
130,A,second,68
140,A,second,71
160,A,second,78
180,A,second,81
240,A,second,90
360,A,second,97
480,A,second,100
0,B,first,0
5,B,first,14
10,B,first,27
20,B,first,26
40,B,first,17
60,B,first,20
120,B,first,16
121,B,second,92
122,B,second,89
125,B,second,90
130,B,second,91
140,B,second,90
160,B,second,91
180,B,second,94
240,B,second,95
360,B,second,103
480,B,second,100
0,C,first,0
5,C,first,5
10,C,first,7
20,C,first,10
40,C,first,11
60,C,first,13
120,C,first,13
121,C,second,92
122,C,second,90
125,C,second,93
130,C,second,94
140,C,second,95
160,C,second,94
180,C,second,97
240,C,second,99
360,C,second,99
480,C,second,100
