numerocellule	linea	ponasterone	giorni
197696	h2	si	0
335737	h2	si	2
540754	h2	si	5
743019	h2	si	8
1479108	h2	si	12
2382319	h2	si	14
3639150	h2	si	16
197696	h2	no	0
393550	h2	no	2
1402813	h2	no	5
3639150	h2	no	8
12971792	h2	no	12
31915378	h2	no	14
66988460	h2	no	16
197696	u2os	si	0
512861	u2os	si	2
2648500	u2os	si	5
8491804	u2os	si	8
57147863	u2os	si	12
203704207	u2os	si	14
946237161	u2os	si	16
197696	u2os	no	0
570164	u2os	no	2
3104559	u2os	no	5
10495424	u2os	no	8
87297136	u2os	no	12
214783047	u2os	no	14
765596606	u2os	no	16
