materiali	invecchiamento	valori
CERAMICA_SUGLUE	1static	10.33707865
CERAMICA_SUGLUE	1static	20.93023256
CERAMICA_SUGLUE	1static	8.181818182
CERAMICA_SUGLUE	1static	18.75
CERAMICA_SUGLUE	1static	9.555555556
CERAMICA_SUGLUE	1static	9.67032967
CERAMICA_SUGLUE	1static	8.850574713
CERAMICA_SUGLUE	1static	10.2173913
CERAMICA_SUGLUE	1static	18.02325581
CERAMICA_SUGLUE	1static	18.16091954
CERAMICA_SUGLUE	1static	10.45977011
CERAMICA_SUGLUE	1static	7.613636364
CERAMICA_SUGLUE	1static	9.777777778
CERAMICA_SUGLUE	1static	15.50561798
CERAMICA_SUGLUE	1static	12.66666667
CERAMICA_SUGLUE	1static	11.70454545
CERAMICA_SUGLUE	1static	12.5
CERAMICA_SUGLUE	1static	12.64367816
CERAMICA_SUGLUE	1static	9.175257732
CERAMICA_SUGLUE	1static	9.662921348
CERAMICA_SUGLUE	1static	10.61728395
CERAMICA_SUGLUE	1static	9.259259259
CERAMICA_SUGLUE	1static	8.666666667
CERAMICA_SUGLUE	1static	11.20879121
CERAMICA_SUGLUE	1static	9.78021978
CERAMICA_SUGLUE	1static	9.894736842
CERAMICA_SUGLUE	1static	16.88172043
CERAMICA_SUGLUE	1static	13.67088608
CERAMICA_SUGLUE	1static	7.528089888
CERAMICA_SUGLUE	1static	8.888888889
CERAMICA_SUGLUE	1static	15.52083333
CERAMICA_SUGLUE	1static	15.80645161
CERAMICA_SUGLUE	1static	16.37362637
CERAMICA_SUGLUE	1static	9.431818182
CERAMICA_SUGLUE	1static	12.80898876
CERAMICA_SUGLUE	1static	7.411764706
CERAMICA_SUGLUE	1static	17.228739
CERAMICA_SUGLUE	1static	16.33333333
CERAMICA_SUGLUE	1static	8.47826087
CERAMICA_SUGLUE	1static	13.9430462
CERAMICA_SUGLUE	1static	19.73039216
CERAMICA_SUGLUE	1static	15.38461538
CERAMICA_SUGLUE	1static	18.10526316
CERAMICA_SUGLUE	1static	16.50165017
CERAMICA_SUGLUE	1static	14.34355119
CERAMICA_SUGLUE	1static	16.30627437
CERAMICA_SUGLUE	1static	18.07598039
CERAMICA_SUGLUE	1static	14.34468524
CERAMICA_SUGLUE	1static	23.18218954
CERAMICA_SUGLUE	1static	21.05263158
CERAMICA_SUGLUE	1static	8.118556701
CERAMICA_SUGLUE	1static	22.48803828
CERAMICA_SUGLUE	1static	22.59425616
CERAMICA_SUGLUE	1static	17.69713262
CERAMICA_SUGLUE	1static	13.87150605
CERAMICA_SUGLUE	1static	16.61779081
CERAMICA_SUGLUE	1static	18.28022876
CERAMICA_SUGLUE	1static	23.09657639
CERAMICA_SUGLUE	1static	20.44270833
CERAMICA_SUGLUE	1static	9.263157895
CERAMICA_SUGLUE	1static	14.82409437
CERAMICA_SUGLUE	1static	9.861254443
CERAMICA_SUGLUE	1static	23.10823755
CERAMICA_SUGLUE	1static	21.11613876
CERAMICA_SUGLUE	1static	22.39902081
CERAMICA_SUGLUE	1static	14.97209745
CERAMICA_SUGLUE	1static	18.46122112
CERAMICA_SUGLUE	1static	17.07075705
CERAMICA_SUGLUE	2chewing	8.043478261
CERAMICA_SUGLUE	2chewing	16.02409639
CERAMICA_SUGLUE	2chewing	11.46067416
CERAMICA_SUGLUE	2chewing	13.07692308
CERAMICA_SUGLUE	2chewing	10.23255814
CERAMICA_SUGLUE	2chewing	11.79487179
CERAMICA_SUGLUE	2chewing	12.79069767
CERAMICA_SUGLUE	2chewing	13.125
CERAMICA_SUGLUE	2chewing	15.80246914
CERAMICA_SUGLUE	2chewing	17.38317757
CERAMICA_SUGLUE	2chewing	12.82608696
CERAMICA_SUGLUE	2chewing	10
CERAMICA_SUGLUE	2chewing	14.79452055
CERAMICA_SUGLUE	2chewing	15.71428571
CERAMICA_SUGLUE	2chewing	13.15789474
CERAMICA_SUGLUE	2chewing	14.60674157
CERAMICA_SUGLUE	2chewing	14.77777778
CERAMICA_SUGLUE	2chewing	9.523809524
CERAMICA_SUGLUE	2chewing	8.804347826
CERAMICA_SUGLUE	2chewing	7.189542484
CERAMICA_SUGLUE	2chewing	19.09090909
CERAMICA_SUGLUE	2chewing	16.06741573
CERAMICA_SUGLUE	2chewing	17.5
CERAMICA_SUGLUE	2chewing	9.390243902
CERAMICA_SUGLUE	2chewing	18.69565217
CERAMICA_SUGLUE	2chewing	19.87341772
CERAMICA_SUGLUE	2chewing	13.22222222
CERAMICA_SUGLUE	2chewing	20.53763441
CERAMICA_SUGLUE	2chewing	10.40816327
CERAMICA_SUGLUE	2chewing	15
CERAMICA_SUGLUE	2chewing	12.74509804
CERAMICA_SUGLUE	2chewing	5.813953488
CERAMICA_SUGLUE	2chewing	9.586158522
CERAMICA_SUGLUE	2chewing	18.06895023
CERAMICA_SUGLUE	2chewing	8.272058824
CERAMICA_SUGLUE	2chewing	14.98565204
CERAMICA_SUGLUE	2chewing	19.42567568
CERAMICA_SUGLUE	2chewing	7.859548841
CERAMICA_SUGLUE	2chewing	10.31787389
CERAMICA_SUGLUE	2chewing	8.223684211
CERAMICA_SUGLUE	2chewing	4.756357989
CERAMICA_SUGLUE	2chewing	10.20075963
CERAMICA_SUGLUE	2chewing	6.475225225
CERAMICA_SUGLUE	2chewing	11.42217245
CERAMICA_SUGLUE	2chewing	17.16873815
CERAMICA_SUGLUE	2chewing	18.22105011
CERAMICA_SUGLUE	2chewing	17.77824532
CERAMICA_SUGLUE	2chewing	9.370119729
CERAMICA_SUGLUE	2chewing	13.78038194
CERAMICA_SUGLUE	2chewing	11.57163896
CERAMICA_SUGLUE	2chewing	8.486562942
CERAMICA_SUGLUE	2chewing	11.69146675
CERAMICA_SUGLUE	2chewing	8.028673835
CERAMICA_SUGLUE	2chewing	9.879725086
CERAMICA_SUGLUE	2chewing	6.97392359
CERAMICA_SUGLUE	2chewing	15.86179026
CERAMICA_SUGLUE	2chewing	7.894736842
CERAMICA_SUGLUE	2chewing	11.39446555
CERAMICA_SUGLUE	2chewing	3.748438151
CERAMICA_SUGLUE	2chewing	16.33986928
CERAMICA_SUGLUE	2chewing	9.658166034
CERAMICA_SUGLUE	2chewing	16.85870224
CERAMICA_SUGLUE	2chewing	18.60119048
CERAMICA_SUGLUE	2chewing	3.176742395
CERAMICA_SUGLUE	2chewing	7.894736842
CERAMICA_SUGLUE	2chewing	2.998391107
CERAMICA_SUGLUE	2chewing	7.895080256
CERAMICA_SUGLUE	2chewing	9.564989518
CERAMICA_SUGLUE	2chewing	9.282700422
CERAMICA_VARIOLINK	1static	21.16220544
CERAMICA_VARIOLINK	1static	13.35066163
CERAMICA_VARIOLINK	1static	13.34379906
CERAMICA_VARIOLINK	1static	22.51552795
CERAMICA_VARIOLINK	1static	11.52999093
CERAMICA_VARIOLINK	1static	26.05032701
CERAMICA_VARIOLINK	1static	20.51445578
CERAMICA_VARIOLINK	1static	20.25425555
CERAMICA_VARIOLINK	1static	11.1178492
CERAMICA_VARIOLINK	1static	14.02066203
CERAMICA_VARIOLINK	1static	10.62801932
CERAMICA_VARIOLINK	1static	16.8647425
CERAMICA_VARIOLINK	1static	16.97829357
CERAMICA_VARIOLINK	1static	27.56611385
CERAMICA_VARIOLINK	1static	16.70480549
CERAMICA_VARIOLINK	1static	17.9028133
CERAMICA_VARIOLINK	1static	17.18321737
CERAMICA_VARIOLINK	1static	26.33311389
CERAMICA_VARIOLINK	1static	24.77793361
CERAMICA_VARIOLINK	1static	12.04819277
CERAMICA_VARIOLINK	1static	20.15621063
CERAMICA_VARIOLINK	1static	16.30434783
CERAMICA_VARIOLINK	1static	19.42107867
