piastra	assorbanza	coltura	infezione	lambda	giorno
r1	0.375	medium	assente	570	2
r1	0.377	medium	assente	570	2
r1	0.379	medium	assente	570	2
r1	0.373	medium	assente	570	2
r1	0.378	medium	assente	570	2
r1	0.371	medium	assente	570	2
r1	0.372	medium	assente	570	2
r1	0.381	medium	assente	570	2
r2	0.518	BT474	moi10	570	2
r2	0.514	BT474	moi10	570	2
r2	0.628	BT474	moi10	570	2
r2	0.656	BT474	moi10	570	2
r2	0.604	BT474	moi10	570	2
r2	0.54	BT474	moi10	570	2
r2	0.491	BT474	moi10	570	2
r2	0.519	BT474	moi10	570	2
r3	0.472	BT474	moi2	570	2
r3	0.538	BT474	moi2	570	2
r3	0.715	BT474	moi2	570	2
r3	0.668	BT474	moi2	570	2
r3	0.679	BT474	moi2	570	2
r3	0.672	BT474	moi2	570	2
r3	0.631	BT474	moi2	570	2
r3	0.47	BT474	moi2	570	2
r4	0.53	BT474	assente	570	2
r4	0.543	BT474	assente	570	2
r4	0.752	BT474	assente	570	2
r4	0.765	BT474	assente	570	2
r4	0.766	BT474	assente	570	2
r4	0.759	BT474	assente	570	2
r4	0.683	BT474	assente	570	2
r4	0.52	BT474	assente	570	2
r5	0.413	MDAMB453	moi10	570	2
r5	0.399	MDAMB453	moi10	570	2
r5	0.605	MDAMB453	moi10	570	2
r5	0.636	MDAMB453	moi10	570	2
r5	0.644	MDAMB453	moi10	570	2
r5	0.614	MDAMB453	moi10	570	2
r5	0.448	MDAMB453	moi10	570	2
r5	0.432	MDAMB453	moi10	570	2
r6	0.411	MDAMB453	moi2	570	2
r6	0.409	MDAMB453	moi2	570	2
r6	0.415	MDAMB453	moi2	570	2
r6	0.428	MDAMB453	moi2	570	2
r6	0.444	MDAMB453	moi2	570	2
r6	0.426	MDAMB453	moi2	570	2
r6	0.412	MDAMB453	moi2	570	2
r6	0.413	MDAMB453	moi2	570	2
r7	0.502	MDAMB453	assente	570	2
r7	0.524	MDAMB453	assente	570	2
r7	0.506	MDAMB453	assente	570	2
r7	0.502	MDAMB453	assente	570	2
r7	0.51	MDAMB453	assente	570	2
r7	0.51	MDAMB453	assente	570	2
r7	0.503	MDAMB453	assente	570	2
r7	0.503	MDAMB453	assente	570	2
r8	0.416	medium	assente	600	2
r8	0.424	medium	assente	600	2
r8	0.429	medium	assente	600	2
r8	0.425	medium	assente	600	2
r8	0.44	medium	assente	600	2
r8	0.419	medium	assente	600	2
r8	0.417	medium	assente	600	2
r8	0.419	medium	assente	600	2
r9	0.36	BT474	moi10	600	2
r9	0.371	BT474	moi10	600	2
r9	0.476	BT474	moi10	600	2
r9	0.497	BT474	moi10	600	2
r9	0.494	BT474	moi10	600	2
r9	0.431	BT474	moi10	600	2
r9	0.375	BT474	moi10	600	2
r9	0.346	BT474	moi10	600	2
r10	0.381	BT474	moi2	600	2
r10	0.454	BT474	moi2	600	2
r10	0.61	BT474	moi2	600	2
r10	0.579	BT474	moi2	600	2
r10	0.556	BT474	moi2	600	2
r10	0.551	BT474	moi2	600	2
r10	0.517	BT474	moi2	600	2
r10	0.361	BT474	moi2	600	2
r11	0.241	BT474	assente	600	2
r11	0.252	BT474	assente	600	2
r11	0.446	BT474	assente	600	2
r11	0.433	BT474	assente	600	2
r11	0.442	BT474	assente	600	2
r11	0.436	BT474	assente	600	2
r11	0.364	BT474	assente	600	2
r11	0.223	BT474	assente	600	2
r12	0.394	MDAMB453	moi10	600	2
r12	0.403	MDAMB453	moi10	600	2
r12	0.601	MDAMB453	moi10	600	2
r12	0.63	MDAMB453	moi10	600	2
r12	0.599	MDAMB453	moi10	600	2
r12	0.574	MDAMB453	moi10	600	2
r12	0.415	MDAMB453	moi10	600	2
r12	0.398	MDAMB453	moi10	600	2
r13	0.373	MDAMB453	moi2	600	2
r13	0.388	MDAMB453	moi2	600	2
r13	0.393	MDAMB453	moi2	600	2
r13	0.401	MDAMB453	moi2	600	2
r13	0.405	MDAMB453	moi2	600	2
r13	0.39	MDAMB453	moi2	600	2
r13	0.378	MDAMB453	moi2	600	2
r13	0.374	MDAMB453	moi2	600	2
r14	0.245	MDAMB453	assente	600	2
r14	0.254	MDAMB453	assente	600	2
r14	0.247	MDAMB453	assente	600	2
r14	0.24	MDAMB453	assente	600	2
r14	0.246	MDAMB453	assente	600	2
r14	0.25	MDAMB453	assente	600	2
r14	0.25	MDAMB453	assente	600	2
r14	0.244	MDAMB453	assente	600	2
