anno	genere	statura	peso	scarpe	fumo	sport	frequenza	massima	minima	mediaold	medianew
1987	f	155	53	36	NO	poco	62	90	60	28	27
1987	f	157	50	37	NO	saltuario	64	120	70	26	27
1989	f	158	48	36	NO	saltuario	74	95	75	26	27
1987	f	158	49	36	NO	saltuario	66	95	70	28	27
1988	f	158	58	38	NO	poco	65	140	70	27	27
1988	f	160	45	37	NO	saltuario	72	120	80	26	27
1988	f	163	51	39	SI	tanto	80	125	80	30	29
1988	f	163	52	37	NO	tanto	74	120	70	28	28
1988	f	164	68	40	NO	poco	78	100	65	26	27
1989	f	165	57	37	NO	saltuario	76	105	80	29	28
1989	f	165	58	38	SI	tanto	90	105	70	25	27
1988	f	165	59	38	NO	saltuario	62	90	60	28	29
1989	f	166	56	39	NO	saltuario	64	120	70	26	27
1989	f	166	57	37	NO	saltuario	74	100	75	25	27
1987	f	166	75	40	SI	poco	66	100	70	28	27
1989	f	167	56	38	SI	tanto	65	140	70	26	28
1989	m	167	56	41	NO	saltuario	74	120	50	30	27
1989	f	167	57	38	NO	poco	72	120	80	27	27
1989	f	167	58	37	NO	poco	80	125	80	27	28
1988	f	168	53	41	NO	tanto	74	120	70	27	27
1989	f	168	55	38	NO	saltuario	78	100	65	27	27
1989	f	168	58	38	NO	saltuario	76	110	80	25	28
1989	m	168	62	41	NO	saltuario	68	125	80	29	28
1989	f	168	64	39	NO	poco	90	110	70	27	27
1988	f	170	53	39	NO	tanto	90	140	80	28	27
1989	f	170	56	40	NO	poco	90	110	70	29	27
1989	f	171	60	39	NO	tanto	60	120	70	27	27
1987	m	171	60	43	SI	saltuario	80	125	90	24	28
1988	f	172	54	38	SI	saltuario	60	100	70	29	27
1989	f	172	54	39	NO	tanto	66	125	80	30	28
1988	m	172	65	43	SI	tanto	68	115	80	28	29
1989	m	172	75	43	NO	poco	74	125	70	28	28
1989	f	173	53	39	NO	tanto	90	150	90	24	28
1989	m	173	62	42	SI	saltuario	68	130	75	30	26
1989	m	174	68	42	NO	saltuario	80	130	90	28	28
1989	m	174	74	43	SI	saltuario	76	140	80	27	27
1985	m	174	74	44	NO	poco	80	130	90	28	27
1987	m	174	76	43	NO	poco	74	120	55	24	28
1989	f	175	52	39	NO	saltuario	90	120	80	29	28
1989	m	175	54	41	NO	tanto	68	125	80	29	28
1989	f	175	59	39	SI	tanto	64	125	70	27	27
1988	m	175	71	43	NO	poco	80	130	90	27	26
1989	m	175	72	43	NO	poco	68	115	80	26	28
1988	f	176	62	42	NO	poco	80	125	60	28	28
1989	m	177	65	42	NO	tanto	74	125	70	26	28
1990	m	177	69	42	NO	saltuario	68	130	75	26	26
1989	m	177	71	44	NO	tanto	88	130	90	24	28
1989	m	178	74	43	NO	poco	76	140	80	29	28
1989	m	178	74	43	NO	tanto	80	130	90	26	28
1990	m	180	60	43	SI	saltuario	80	140	95	27	27
1989	m	180	64	42	NO	tanto	56	110	60	27	28
1989	m	180	65	44	NO	tanto	58	115	80	26	27
1989	m	180	68	42	NO	saltuario	76	140	90	29	27
1987	m	180	70	43	NO	poco	66	130	100	29	28
1988	f	180	72	41	NO	saltuario	62	110	75	27	26
1988	m	180	76	42	NO	saltuario	58	150	90	29	27
1989	m	180	80	45	NO	poco	60	135	110	26	28
1989	m	182	78	43	NO	poco	66	120	65	26	27
1989	m	184	73	44	NO	tanto	56	110	60	28	28
1989	m	184	76	45	NO	poco	58	115	80	26	27
1989	m	185	85	46	SI	poco	76	145	90	29	27
1989	m	187	73	43	SI	tanto	58	150	90	27	26
1985	m	187	73	45	NO	tanto	66	135	100	30	28
1989	m	191	75	44	NO	tanto	60	135	110	27	28
1989	m	194	79	46	SI	tanto	66	120	65	28	26
