ref,gene,subject,gruppo,ct
F05,Agapdh,Unkn23,siTDP,21.0117520007
F06,Agapdh,Unkn23,siTDP,20.8996515942
F07,Agapdh,Unkn24,siTDP,19.5877012533
F08,Agapdh,Unkn24,siTDP,22.0005311225
F01,Agapdh,Unkn21,siLUC,20.9055575321
F02,Agapdh,Unkn21,siLUC,20.8164383019
F03,Agapdh,Unkn22,siLUC,19.8261405046
F04,Agapdh,Unkn22,siLUC,20.794047192
E01,H,Unkn03,siTDP,25.4495106864
F01,H,Unkn03,siTDP,25.2893631898
C05,H,Unkn11,siTDP,23.6753559799
C06,H,Unkn11,siTDP,23.4371457711
C07,H,Unkn12,siTDP,22.8514184231
C08,H,Unkn12,siTDP,24.9125546048
E02,H,Unkn07,siLUC,23.4802002606
F02,H,Unkn07,siLUC,25.2450965711
C01,H,Unkn09,siLUC,25.0748496426
C02,H,Unkn09,siLUC,24.1198263255
C03,H,Unkn10,siLUC,23.3831187743
C04,H,Unkn10,siLUC,23.1482645934
C04,T,Unkn10,siTDP,27.8948157532
D04,T,Unkn10,siTDP,27.6340435883
D05,T,Unkn15,siTDP,26.3794513568
D06,T,Unkn15,siTDP,26.3279442748
D07,T,Unkn16,siTDP,27.0668869358
D08,T,Unkn16,siTDP,27.4192487259
C05,T,Unkn14,siLUC,27.802734567
D05,T,Unkn14,siLUC,27.3347507183
D01,T,Unkn13,siLUC,27.3087499186
D02,T,Unkn13,siLUC,27.8633563472
D03,T,Unkn14,siLUC,27.157223122
D04,T,Unkn14,siLUC,26.8471195848
C01,S,Unkn02,siTDP,25.61
D01,S,Unkn02,siTDP,25.61
B05,S,Unkn07,siTDP,25.2494633211
B06,S,Unkn07,siTDP,25.5869830753
B07,S,Unkn08,siTDP,25.1258240643
B08,S,Unkn08,siTDP,26.5022513946
C02,S,Unkn06,siLUC,24.2592981854
D02,S,Unkn06,siLUC,24.6464117831
B01,S,Unkn05,siLUC,27.624840032
B02,S,Unkn05,siLUC,27.4331055324
B03,S,Unkn06,siLUC,26.3220607433
B04,S,Unkn06,siLUC,25.8388810748
A01,F,Unkn01,siTDP,27.19
B01,F,Unkn01,siTDP,26.97
A05,F,Unkn03,siTDP,26.0822458845
A06,F,Unkn03,siTDP,26.1276555869
A07,F,Unkn04,siTDP,26.279813597
A08,F,Unkn04,siTDP,26.6563551598
A02,F,Unkn05,siLUC,25.08
B02,F,Unkn05,siLUC,24.8
A01,F,Unkn01,siLUC,26.5599573523
A02,F,Unkn01,siLUC,26.1499716704
A03,F,Unkn02,siLUC,26.4395656842
A04,F,Unkn02,siLUC,26.1258015642
E04,B,Unkn11,siTDP,26.7238562887
F04,B,Unkn11,siTDP,26.6227172171
E05,B,Unkn19,siTDP,25.3400866794
E06,B,Unkn19,siTDP,25.179966628
E07,B,Unkn20,siTDP,24.6688096585
E08,B,Unkn20,siTDP,27.0554191656
E05,B,Unkn15,siLUC,26.5187044511
F05,B,Unkn15,siLUC,27.0373679098
E01,B,Unkn17,siLUC,26.3028326513
E02,B,Unkn17,siLUC,26.473551417
E03,B,Unkn18,siLUC,25.8360298777
E04,B,Unkn18,siLUC,24.4910995176
