participant	group	hemisphere	intensity	amplitude
01f	fluent	left	110	1098
01f	fluent	right	110	432
01f	fluent	left	130	2441
01f	fluent	right	130	1029
01f	fluent	left	150	5260
01f	fluent	right	150	2195
03f	fluent	left	110	480
03f	fluent	right	110	498
03f	fluent	left	130	4495
03f	fluent	right	130	2421
03f	fluent	left	150	5450
03f	fluent	right	150	3557
04s	stutter	left	110	126
04s	stutter	right	110	68
04s	stutter	left	130	1876
04s	stutter	right	130	516
04s	stutter	left	150	2272
04s	stutter	right	150	715
05f	fluent	left	110	1023
05f	fluent	right	110	277
05f	fluent	left	130	3797
05f	fluent	right	130	1897
05f	fluent	left	150	4565
05f	fluent	right	150	3133
06f	fluent	left	110	31
06f	fluent	right	110	33
06f	fluent	left	130	401
06f	fluent	right	130	447
06f	fluent	left	150	3551
06f	fluent	right	150	2308
07s	stutter	left	110	246
07s	stutter	right	110	114
07s	stutter	left	130	910
07s	stutter	right	130	306
07s	stutter	left	150	1836
07s	stutter	right	150	676
08f	fluent	left	110	184
08f	fluent	right	110	563
08f	fluent	left	130	1399
08f	fluent	right	130	1330
08f	fluent	left	150	2356
08f	fluent	right	150	1322
09f	fluent	left	110	254
09f	fluent	right	110	220
09f	fluent	left	130	1395
09f	fluent	right	130	978
09f	fluent	left	150	2134
09f	fluent	right	150	1114
10f	fluent	left	110	92
10f	fluent	right	110	21
10f	fluent	left	130	1089
10f	fluent	right	130	874
10f	fluent	left	150	4077
10f	fluent	right	150	3350
11f	fluent	left	110	812
11f	fluent	right	110	99
11f	fluent	left	130	1334
11f	fluent	right	130	675
11f	fluent	left	150	2667
11f	fluent	right	150	2039
12s	stutter	left	110	90
12s	stutter	right	110	14
12s	stutter	left	130	296
12s	stutter	right	130	659
12s	stutter	left	150	1189
12s	stutter	right	150	572
13f	fluent	left	110	285
13f	fluent	right	110	59
13f	fluent	left	130	700
13f	fluent	right	130	322
13f	fluent	left	150	2150
13f	fluent	right	150	1541
14f	fluent	left	110	460
14f	fluent	right	110	911
14f	fluent	left	130	5023
14f	fluent	right	130	2190
14f	fluent	left	150	3169
14f	fluent	right	150	2862
15f	fluent	left	110	41
15f	fluent	right	110	49
15f	fluent	left	130	301
15f	fluent	right	130	551
15f	fluent	left	150	1924
15f	fluent	right	150	1645
17s	stutter	left	110	257
17s	stutter	right	110	807
17s	stutter	left	130	747
17s	stutter	right	130	1409
17s	stutter	left	150	1693
17s	stutter	right	150	1698
18s	stutter	left	110	670
18s	stutter	right	110	197
18s	stutter	left	130	832
18s	stutter	right	130	619
18s	stutter	left	150	1069
18s	stutter	right	150	1207
19f	fluent	left	110	1336
19f	fluent	right	110	446
19f	fluent	left	130	2784
19f	fluent	right	130	3231
19f	fluent	left	150	3342
19f	fluent	right	150	3485
20f	fluent	left	110	34
20f	fluent	right	110	3
20f	fluent	left	130	78
20f	fluent	right	130	399
20f	fluent	left	150	378
20f	fluent	right	150	612
21s	stutter	left	110	60
21s	stutter	right	110	71
21s	stutter	left	130	694
21s	stutter	right	130	622
21s	stutter	left	150	1195
21s	stutter	right	150	1509
22f	fluent	left	110	141
22f	fluent	right	110	91
22f	fluent	left	130	249
22f	fluent	right	130	712
22f	fluent	left	150	801
22f	fluent	right	150	1222
23s	stutter	left	110	125
23s	stutter	right	110	51
23s	stutter	left	130	512
23s	stutter	right	130	561
23s	stutter	left	150	1102
23s	stutter	right	150	2167
24f	fluent	left	110	243
24f	fluent	right	110	235
24f	fluent	left	130	1586
24f	fluent	right	130	1407
24f	fluent	left	150	2374
24f	fluent	right	150	3510
26s	stutter	left	110	8
26s	stutter	right	110	287
26s	stutter	left	130	459
26s	stutter	right	130	1299
26s	stutter	left	150	1527
26s	stutter	right	150	2757
27s	stutter	left	110	182
27s	stutter	right	110	448
27s	stutter	left	130	1102
27s	stutter	right	130	1110
27s	stutter	left	150	1918
27s	stutter	right	150	3167
28f	fluent	left	110	284
28f	fluent	right	110	578
28f	fluent	left	130	1365
28f	fluent	right	130	4974
28f	fluent	left	150	3869
28f	fluent	right	150	5328
29s	stutter	left	110	311
29s	stutter	right	110	939
29s	stutter	left	130	1053
29s	stutter	right	130	2491
29s	stutter	left	150	1487
29s	stutter	right	150	3193
30f	fluent	left	110	188
30f	fluent	right	110	294
30f	fluent	left	130	2426
30f	fluent	right	130	1450
30f	fluent	left	150	3079
30f	fluent	right	150	5270
31s	stutter	left	110	174
31s	stutter	right	110	524
31s	stutter	left	130	108
31s	stutter	right	130	2118
31s	stutter	left	150	227
31s	stutter	right	150	2782
32s	stutter	left	110	175
32s	stutter	right	110	1314
32s	stutter	left	130	907
32s	stutter	right	130	2272
32s	stutter	left	150	1126
32s	stutter	right	150	4080
