group	subject	day	time	status
1	1	1	60	0
1	1	2	45.75	1
1	1	3	50.75	1
1	1	4	17	1
1	1	5	11.75	1
1	1	6	6	1
1	1	7	8	1
1	2	1	48.8	1
1	2	2	26.5	1
1	2	3	24	1
1	2	4	21	1
1	2	5	15	1
1	2	6	12.8	1
1	2	7	9.3	1
1	3	1	47	1
1	3	2	26.5	1
1	3	3	9	1
1	3	4	10	1
1	3	5	6.75	1
1	3	6	5.75	1
1	3	7	9	1
1	4	1	34.5	1
1	4	2	17.75	1
1	4	3	6.5	1
1	4	4	6.75	1
1	4	5	7.75	1
1	4	6	3.25	1
1	4	7	3.5	1
1	5	1	44.75	1
1	5	2	20	1
1	5	3	9	1
1	5	4	6	1
1	5	5	8	1
1	5	6	3.75	1
1	5	7	3.75	1
1	6	1	31.5	1
1	6	2	11.5	1
1	6	3	8	1
1	6	4	7.5	1
1	6	5	8.25	1
1	6	6	6	1
1	6	7	4.5	1
1	7	1	32.3	1
1	7	2	49.5	1
1	7	3	22.5	1
1	7	4	5.3	1
1	7	5	15	1
1	7	6	9	1
1	7	7	18.5	1
1	8	1	42.5	1
1	8	2	30.7	1
1	8	3	20.5	1
1	8	4	17	1
1	8	5	16.5	1
1	8	6	7	1
1	8	7	4.8	1
1	9	1	60	0
1	9	2	29	1
1	9	3	16	1
1	9	4	14	1
1	9	5	9	1
1	9	6	7	1
1	9	7	4	1
1	10	1	48.8	1
1	10	2	26.5	1
1	10	3	24	1
1	10	4	21	1
1	10	5	15	1
1	10	6	12.8	1
1	10	7	9.3	1
1	11	1	47	1
1	11	2	26.5	1
1	11	3	9	1
1	11	4	10	1
1	11	5	6.75	1
1	11	6	5.75	1
1	11	7	9	1
1	12	1	34.5	1
1	12	2	17.75	1
1	12	3	6.5	1
1	12	4	6.75	1
1	12	5	7.75	1
1	12	6	3.25	1
1	12	7	3.5	1
2	13	1	60	0
2	13	2	35.3	1
2	13	3	25.5	1
2	13	4	10.8	1
2	13	5	6.5	1
2	13	6	4.3	1
2	13	7	5	1
2	14	1	52.5	1
2	14	2	10.8	1
2	14	3	10.3	1
2	14	4	4.8	1
2	14	5	13.5	1
2	14	6	5.3	1
2	14	7	5.5	1
2	15	1	52.5	1
2	15	2	10.8	1
2	15	3	10.3	1
2	15	4	4.8	1
2	15	5	13.5	1
2	15	6	5.3	1
2	15	7	5.5	1
2	16	1	32.8	1
2	16	2	7.7	1
2	16	3	10.8	1
2	16	4	8	1
2	16	5	7.3	1
2	16	6	7	1
2	16	7	7.8	1
2	17	1	52.5	1
2	17	2	10.8	1
2	17	3	10.3	1
2	17	4	4.8	1
2	17	5	13.5	1
2	17	6	5.3	1
2	17	7	5.5	1
2	18	1	46.3	1
2	18	2	39.8	1
2	18	3	21	1
2	18	4	14.5	1
2	18	5	26.5	1
2	18	6	7.3	1
2	18	7	5.3	1
2	19	1	24	1
2	19	2	18.3	1
2	19	3	25.3	1
2	19	4	14	1
2	19	5	16.8	1
2	19	6	7.5	1
2	19	7	5	1
